compound,,,,id,molecular_formula,,molecular__mass,,CAS
alpha-cedrene,,,,96,C15H24,,204,,469-61-4
(-)-alloaromadendrene,,,,97,C15H24,,204,,25246-27-9
alpha-curcumene,,,,98,C15H24,,202,,644-30-4
alpha-zingiberene,,,,99,C15H24,,204,,495-60-3
gamma-cadinene,,,,100,C15H24,,204,,39029-41-9
alpha-farnesene,,,,101,C15H24,,204,,502-61-4
(+)-epi-bicyclosesquiphellandrene,,,,102,C15H24,,204,,ND
beta-cedrene,,,,103,C15H24,,204,,546-28-1
1_5-cyclodecadiene,,,,104,C10H16,,204,,15423-57-1
3-Methylcyclopentanol,,,,105,C6H12O,,100,,18729-48-1
trans-2-Hexenal,,,,106,C6H10O,,98,,6728-26-3
1-hexanol,,,,107,C6H14O,,102,,111-27-3
propanoic_acid,,,,108,C3H6O2,,144,,97-85-8
d-limonene,,,,109,C10H16,,136,,5989-27-5
2_6-dimethyl-5-heptenal,,,,110,C9H16O,,140,,106-72-9
1_6-octadien-3-ol,,,,111,C8H14O,,154,,144-39-8
tetrahydro-4-methyl,,,,112,C10H20,,154,,16409-43-1
dl-isopulegol,,,,113,C10H20O,,154,,59905-53-2
1-nonanol,,,,114,C9H20O,,144,,0143-08-08
"(+)-trans,trans-5-Caranol",,,,115,C10H16O,,154,,6909-22-4
"(+)-trans,trans-5-caranol",,,,116,C10H18O,,154,,98-55-5
citronellol,,,,117,C10H20O,,156,,106-22-9
7-Octenoic_acid,,,,118,C8H14O2,,170,,18719-24-9
cyclohexanol-5-metil,,,,119,C7H14O,,172,,42822-86-6
2_6-dimethyl-2_cis-6-octadiene,,,,120,C10H16,,138,,2609-23-6
trans-p-menthane-3_8-diol,,,,121,C10H20O2,,172,,3564-98-5
citronellic_acid,,,,122,C10H18O2,,242,,502-47-6
propanoic_acid_2-methyl_2-phenylethyl_ester,,,,123,C11H14O2,,192,,103-48-0
cis-3-Methyl-2-(2-pentenyl)-2-cyclopenten-1-one,,,,124,C11H16O,,164,,0488-10-8
"2,8,8-Trimethyl-4-methylene-2-vinylbicyclo nonane",,,,125,C15H24,,204,,NA
